Year,Duration,Genre,Rating,Votes,Director
2017,123.0,Action,2.7,339,Dipankar Senapati
2016,120.0,Drama,6.8,16,Azad Jain
1999,133.0,Action,4.9,28,T.L.V. Prasad
2004,144.0,Fantasy,2.4,264,Dheeraj Kumar
1956,130.0,Romance,5.7,21,Chaturbhuj Doshi
1968,170.0,"Comedy, Crime, Drama",5.5,21,C.L. Rawal
1953,137.0,"Drama, Romance",5.0,5,Hasrat Lucknowi
1986,133.0,Action,5.5,6,Joginder Shelly
2018,72.0,Horror,7.4,150,Kshitij Sharma
2002,133.0,Action,5.1,16,Salim Suma
2020,102.0,Family,6.0,14,Prashant Kumar
1983,121.0,Drama,6.5,24,Unknown
1982,105.0,"Action, Crime, Drama",5.5,28,Ambrish Sangal
1977,132.0,Action,5.1,18,Doondi
2019,107.0,Drama,7.6,69,Suman Ghosh
2004,121.0,Drama,6.5,24,Shorya Veer Saagar
1982,154.0,Drama,6.4,19,Ashok Ahuja
1996,121.0,Drama,6.5,24,Pooja Choudhary
2013,157.0,"Action, Crime, Thriller",5.4,568,Ameer Sultan
1990,88.0,Documentary,7.65,34,Dilip Ghosh
1950,115.0,"Drama, Romance",6.7,9,S.K. Ojha
1999,109.0,Horror,4.7,18,Hriday Shankar
1957,121.0,Drama,6.5,24,Chandrakant
1986,108.0,Thriller,5.5,22,V. Menon
1992,133.0,Action,5.1,16,Govind Singh
1968,175.0,"Drama, Romance",6.8,196,A. Bhimsingh
1993,153.0,"Action, Crime, Drama",6.5,97,Arshad Khan
1991,142.0,Fantasy,6.7,66,J. Om Prakash
2001,108.0,Thriller,5.5,22,Alka Kubal
1969,168.0,"Drama, Romance, Thriller",6.2,149,Yash Chopra
1993,158.0,"Drama, Romance",5.0,142,J. Om Prakash
2009,78.0,Drama,7.6,62,Amit Dutta
1977,138.0,"Drama, Family",5.4,34,Devendra Goel
2016,145.0,Horror,4.2,266,Kannan Thamarakkulam
1977,148.0,"Crime, Drama",5.3,17,Atma Ram
2021,135.0,"Comedy, Thriller",5.8,133,Indrajit Nattoji
2021,130.0,Romance,5.7,21,Manjeet Rai
1948,138.0,"Musical, Romance",7.4,357,Raj Kapoor
1967,146.0,"Action, Drama",6.2,29,Naresh Kumar
1994,139.0,"Action, Comedy, Drama",4.6,227,K. Ravi Shankar
1994,137.0,"Action, Thriller",3.1,11,Kanti Shah
1990,133.0,Action,5.1,16,Vikaram Naroo
1994,133.0,Action,4.1,13,Kanti Shah
1970,150.0,"Action, Comedy, Drama",3.7,14,A. Salaam
1990,101.0,Thriller,5.5,22,Ravi Kumar
1986,154.0,"Action, Drama, Romance",4.1,42,K. Bapaiah
2001,133.0,Action,5.1,16,Ravi Raja Pinisetty
1998,133.0,Action,5.1,16,Israr Ahmed
1975,143.0,"Action, Drama, Thriller",5.6,262,Tanvir Ahmed
1987,170.0,Action,5.3,93,Shibu Mitra
1990,133.0,Action,4.2,22,S.V. Rajendra Singh Babu
1953,134.0,"Drama, Family",6.3,21,Roop K. Shorey
1990,180.0,"Action, Drama",4.8,101,David Dhawan
2002,133.0,Action,5.1,16,Kishan Shah
2002,133.0,Action,5.1,16,Thriller Manju
1993,137.0,Action,4.8,21,Kanti Shah
1988,138.0,"Action, Thriller",3.4,7,S.R. Pratap
2001,139.0,Action,5.1,16,Kanti Shah
1991,137.0,"Drama, Romance",5.7,7,Anup Malik
1990,108.0,Thriller,5.5,22,Charanya
1989,151.0,Action,5.0,52,Subhash Ghai
2011,100.0,"Drama, Horror, Thriller",3.6,23,Karan Razdan
1947,121.0,Drama,6.0,6,Yeshwant Pethkar
1972,130.0,Romance,5.7,21,I.S. Johar
1988,124.0,Comedy,4.8,30,Dada Kondke
2001,78.0,Horror,3.1,7,A.T. Joy
2009,117.0,"Comedy, Crime, Drama",5.0,381,Indrajit Nattoji
2000,133.0,Action,5.1,16,Vijay Borade
2000,153.0,"Action, Crime, Drama",4.2,274,Yogesh Ishwar
1953,137.0,"Drama, Romance",6.2,81,R.D. Mathur
1982,121.0,Drama,4.8,8,Muzaffar Ali
1953,150.0,"Drama, Musical, Romance",7.2,275,Raja Nawathe
1971,108.0,Thriller,6.4,10,Kishore Rege
1978,135.0,"Action, Drama",6.0,25,Ashok V. Bhushan
1992,121.0,Drama,6.5,24,Rajendra Bhatia
2020,114.0,"Comedy, Horror",5.35,314,Amrit Raj Thakur
1996,133.0,Action,5.1,16,Unknown
1993,149.0,"Drama, Romance",6.0,448,Deepak Sareen
1977,150.0,Drama,6.8,94,K. Balachander
1944,137.0,"Drama, Romance",3.2,5,S.M. Yusuf
2019,60.0,Horror,4.7,18,Raja Bhargav
2004,123.0,"Drama, Romance",6.2,81,Sandeep Kumar
1987,116.0,Drama,5.5,281,Mahesh Bhatt
1947,130.0,"Comedy, Sci-Fi",4.1,8,Khwaja Ahmad Abbas
1963,144.0,"Drama, Romance",5.6,52,Vasant Joglekar
2004,130.0,Romance,5.7,21,Vikram Naaru
2003,46.0,Action,3.1,15,Amit Chandra Sahay
1990,164.0,"Action, Crime, Drama",4.7,586,K.C. Bokadia
1985,153.0,"Action, Drama",5.1,40,K. Bapaiah
1993,133.0,Action,5.6,29,Kodanda Rami Reddy A.
1992,147.0,"Action, Thriller",5.3,144,Ravi Raja Pinisetty
2001,137.0,"Action, Thriller",4.7,23,Kanti Shah
1992,133.0,Action,5.1,16,Ravi Raja Pinisetty
2006,133.0,Action,6.0,46,Mahesh Anand
1991,108.0,Thriller,5.5,22,Rajni Bala
2004,133.0,Action,5.1,16,Jayasudha
